variable,mean,median,sd,q5,q95,rhat,ess_bulk,ess_tail,mcse_mean
log10_N50_inf,2.304637758845,2.2931025,0.7681103117278344,1.06462162,3.59691124,1.0112063882393798,1259.2377123179283,740.8896803975416,0.02159538838208715
d_fev,0.7120810413693,0.611801085,0.5119389745161566,0.0866730808,1.7084411449999999,1.0013956523979433,831.7111775406277,497.9066030564955,0.016381135620713718
alpha_inf,0.3019848062908,0.21277566,0.3318907191963071,0.05608299755,0.8276179754999997,1.0005169421270448,1487.0740545014612,691.0008655973531,0.011008960225002074
alpha_fevginf,0.3207888767002,0.23097510999999998,0.2930198443768554,0.0597100527,0.8717141324999992,1.0009100673186075,1809.6648974881566,686.9277461414799,0.00881009111255715
gamma_inf,0.261436273978,0.21225635,0.20173515422733182,0.06162251995,0.6174269079999999,0.9989559318471832,1247.030717905556,668.7255628237592,0.006050675371997988
gamma_fevginf,0.255469276609,0.200544425,0.18905628894142326,0.06491572395,0.6797436615,1.0039909964874105,1525.2615158251233,563.2210836381638,0.006331839623882569
log10_delta,3.49257723305,3.49178795,0.6928737246995808,2.3401994900000003,4.583808564999999,1.000239971234338,1494.6954041125039,662.9695212898048,0.017812718800486262
pi_susc,0.63570733364,0.645976095,0.1401393987979165,0.387527913,0.841242863,1.0008053311355707,1363.2108364075468,770.728454027456,0.0037538557176456542
CoP_imm,12.855395620905,8.627573,13.218794034894096,0.7204769115,38.09948499999997,1.0018952226886542,978.6069921247175,557.4782655247133,0.3293942733853698
CoP_susc,1.04705380064,1.01415625,0.3180803620736885,0.616842943,1.6073698949999993,1.0002612482315683,1334.6275892413632,770.7130573249444,0.009005307383672577
phi0_a,1.0330623476142,1.000050215,1.5616169894364444,-1.5932215749999998,3.646390024999999,1.001517691757154,1142.5833983897417,754.2783976154841,0.04639106759167349
phi0_b,1.5357640218454,1.2461454,1.2823446323459267,0.06974971635,4.049671324999999,0.9989144582887338,710.2277203258462,393.6924163846382,0.03711990570956181
eta_lo,0.49627353807,0.494633,0.15208585870498442,0.242123983,0.753993571,1.0003666068137393,1219.8379022694369,763.9305748707098,0.0043260430905912965
kappa,1.677880140843,0.99109118,2.447270143062311,0.19164672800000004,5.234116484999992,0.9996587568127219,1510.3738040240987,560.823024489225,0.08958478727478247
grand_overdispersion_rho,0.020267084015977,0.014074346000000001,0.020500113131044675,0.0011298678,0.06025438164999995,1.0107210475297859,1336.8044300106776,380.95995658793106,4.745387082364285e-4
log_V_M01ZH09,0.01298839156971003,0.0208248505,0.9725089120726284,-1.624282685,1.6289118199999997,1.001549264097982,1709.368457343647,535.3901077154713,0.023483154284261308
log_V_Ty21a,0.041015539689870026,0.043142861500000004,0.9773815134662954,-1.54810016,1.6523148,1.0031921000040356,925.86559588819,754.2113929672732,0.03222108719003016
psi_stool,0.597767233718,0.606368695,0.19628674471282045,0.257098224,0.883699415,1.0042826306387203,1818.8168961088209,546.7636665068095,0.00460935316706213
frac_late,0.727068005778,0.756193915,0.17852056099978406,0.377987604,0.963197211,1.0114882357113217,1345.8746849222316,428.2863582429383,0.004619152300823625
log10_N50_fevginf,3.01671880115,3.0012295499999997,0.7724891505002804,1.77379433,4.3487278599999994,1.0110301531164954,1550.7788704388129,871.4714542858194,0.019638010779148403
